label,team1,team2,seed,winner,end_reason,duration_secs
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,80,team1,kill,50.67
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,81,team2,kill,35.95
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,82,team2,kill,50.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,83,team2,kill,34.47
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,84,team2,kill,32.85
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,85,team2,kill,50.65
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,86,team2,kill,50.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,87,team2,kill,34.42
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,88,team2,kill,51.23
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,89,team2,kill,31.35
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,90,team2,kill,41.68
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,91,team2,kill,34.42
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,92,team2,kill,36.37
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,93,team2,kill,50.62
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,94,team1,kill,56.73
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,95,team2,kill,64.87
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,96,team2,kill,55.93
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,97,team2,kill,34.43
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,98,team1,kill,53.23
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,99,team2,kill,32.90
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,0,team2,kill,38.33
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,1,team1,kill,53.55
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,2,team1,kill,54.08
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,3,team1,kill,47.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,4,team1,kill,53.78
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,5,team1,kill,56.17
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,6,team1,kill,52.88
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,7,team2,kill,49.58
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,8,team2,kill,46.48
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,9,team1,kill,47.35
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,10,team1,kill,52.55
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,11,team1,kill,52.77
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,12,team1,kill,56.18
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,13,team1,kill,52.32
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,14,team1,kill,54.27
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,15,team1,kill,54.88
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,16,team2,kill,42.08
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,17,team1,kill,47.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,18,team2,kill,35.35
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,19,team1,kill,52.28
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,20,team1,kill,55.23
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,21,team1,kill,53.48
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,22,team1,kill,53.40
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,23,team2,kill,51.95
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,24,team1,kill,54.90
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,25,team1,kill,53.10
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,26,team1,kill,53.98
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,27,team1,kill,52.88
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,28,team1,kill,53.38
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,29,team1,kill,49.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,30,team1,kill,54.83
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,31,team2,kill,40.05
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,32,team1,kill,48.17
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,33,team1,kill,57.93
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,34,team1,kill,54.90
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,35,team2,kill,38.57
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,36,team1,kill,52.85
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,37,team1,kill,51.45
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,38,team1,kill,58.05
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,39,team1,kill,49.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,40,team2,kill,42.08
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,41,team1,kill,54.77
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,42,team1,kill,50.18
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,43,team2,kill,40.48
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,44,team2,kill,38.33
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,45,team2,kill,37.18
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,46,team2,kill,39.95
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,47,team1,kill,53.92
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,48,team1,kill,49.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,49,team1,kill,54.15
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,50,team1,kill,55.48
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,51,team1,kill,51.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,52,team1,kill,50.15
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,53,team1,kill,48.92
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,54,team1,kill,45.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,55,team2,kill,45.55
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,56,team2,kill,54.48
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,57,team2,kill,34.80
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,58,team1,kill,52.63
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,59,team2,kill,54.48
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,60,team1,kill,52.27
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,61,team1,kill,51.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,62,team2,kill,41.03
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,63,team2,kill,35.55
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,64,team1,kill,45.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,65,team2,kill,43.78
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,66,team2,kill,38.73
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,67,team2,kill,35.02
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,68,team1,kill,52.72
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,69,team1,kill,52.35
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,70,team1,kill,50.85
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,71,team2,kill,57.18
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,72,team1,kill,49.37
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,73,team1,kill,54.85
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,74,team1,kill,53.42
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,75,team2,kill,38.57
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,76,team1,kill,53.50
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,77,team1,kill,56.42
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,78,team1,kill,51.57
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,79,team1,kill,53.02
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,80,team1,kill,49.38
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,81,team2,kill,35.87
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,82,team1,kill,51.82
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,83,team1,kill,54.75
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,84,team2,kill,43.02
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,85,team2,kill,35.42
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,86,team1,kill,56.97
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,87,team1,kill,51.10
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,88,team2,kill,40.05
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,89,team1,kill,47.55
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,90,team1,kill,54.35
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,91,team1,kill,47.73
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,92,team2,kill,38.05
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,93,team1,kill,49.65
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,94,team1,kill,54.43
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,95,team1,kill,59.07
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,96,team1,kill,53.75
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,97,team2,kill,40.17
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,98,team2,kill,40.55
BasicArena|control|Rogue+Priest_vs_Warlock+Priest,Rogue+Priest,Warlock+Priest,99,team1,kill,52.13
BasicArena|control|Hunter+Priest_vs_Warrior+Priest,Hunter+Priest,Warrior+Priest,0,team1,kill,66.15
